name,Otherlanguages,botanicalName,plantFamily,origin,partOfPlant,extractionmethod,Aromatic molecules,note,strength,fragrancegroup,Fragrance,Chakra,Color,Element,plantInfo,General proporties,Proporties body,Proporties mind,Proporties skin,HarmonizesWith,Did you know?,CONTRAINDICATIONS
Scotch pine ,"NL Grove Den 
FR Pin sylvestre
 DE Kiefernnadel 
IT Pino silvestre 
CZ Borovice skotská 
PL Sosna zwyczajna
",Pinus sylvestris,Pinaceae,Balkan,Plant,,Pinenes; limonene; δ 3 carene,Top,4,Woody:Conifer,,,,,,Revitalise; Supports airways; Supports immunesystem; Purifying,,,,,,
Siam wood ,"NL Siam hout 
FR Bois de Siam
 DE Siamholz
 IT Fokenia
  CZ Siam dřevo 
PL Fokienia
",Fokienia Hodgensii,Cupressaceae,Vietnam,Wood,,Trans nerolidol; fokienol,Hart,3,Woody,,,,,,Revitalise,,,,,,
Siberian fir ,"NL Siberische spar 
FR Pin de Sibérie 
DE Fichtennadel 
IT Abete siberiano 
CZ Jedle sibiřská 
PL Jodła syberyjska
",Abies siberica,Pinaceae,Russia,Needles,,α-pinene; bornyl acetate; camphene; δ 3-carene,Top,3,Woody:Conifer,,,,,,Harmonizing;  Supports airways; Supports immunesystem; Purifying,,,,,,
Silverfir,"NL Zilverspar  
FR Sapin pectiné
 DE Weistanne  
IT Abete bianco
 CZ Jedle stříbrná  
PL Jodła srebrna  
",Abies alba Miller,Pinaceae,Austria,Leaf,,α- & β-pinene; limonene; camphene,Top,3,Woody:Conifer,,,,,,Revitalise; Supports airways; Supports immunesystem; Purifying,,,,,,
Spearmint,"NL Kruizemunt
 FR Menthe en Grappe 
DE Krauseminze 
IT Menta spicata 
CZ Spearmint
 PL Mięta zielona spearmint
",Mentha spicata,lamiaceae,China,Plant,,Myrcene; carvone; limonene,Top,4,Herbal:mint,,,,,,Revitalise; Supports airways,,,,,,
Staranise,"NL Steranijs 
FR Badiane 
DE Steranis 
IT Anice stellato  
CZ Badyán 
PL Anyż gwiaździsty
",Illicium verum,Magnoliacea,Indonesia,Fruit,,Trans anethole,Hart,5,Spicy,,,,,,Harmonizing; Supports airways; Purifying,,,,,,
Sweet orange ,"NL Zoete Sinaas  
FR Orange douce
 DE Orangeöl süß 
IT Arancio dolce
 CZ Sladký pomeranč 
PL Słodka pomarańcza
",Citrus sinensis,Rutaceae,Mexico,Peel,,Limonene,Top,3,Citrus,,,,,Sweet orange (Citrus Sinensis) is an evergreen tree; belonging to the Rutaceae family of China. Cultivated for the most part in Italy and Spain reaches a height of 8-10 m with woody base; small green-dark leaves and clear whitish flowers. The fruits are larger and clearer than those of the bitter orange.,Relaxing; Harmonizing; Purifying; disinfects the air; supports when having a cold or bronchitis; uplifts and relaxing when having stress; firms the skintension,,,,Star Anise; Cinnamon; Cloves; Lavender; Lavandin; Myrhh; Vanilla and most of the existing oils,,Photosensibilizing and phototoxic; not to be used before exposure to the sun
Tangerine,"NL Tangerine 
FR Tangerine
 DE Tangerine
  IT  Tangarino 
CZ Mandarinka tanžerína 
PL Tangerynka
",Citrus reticulata var. Tang,Rutaceae,Brasil,Peel,,,Hart,3,Citrus,,,,,,Relaxing; Supports airways; Supports immunesystem,,,,,,
Tea tree ,"NL Tea tree FR Melaleuce DE Teebaum IT Tea tree CZ Čajovník (tea tree) PL Drzewo herbaciane
",Melaleuca alternifolia,Myrtaceae,Australia,Leaf,,Terpineol 1;4; γ-terpinene,Top,3,Herbal:medicenal,,,,,,Harmonizing; Revitalise; Supports airways; Supports immunesystem; Purifying,,,,,,
Thuja,"NL Thuja 
FR Thuja
 DE Thuja
 IT Tuia coreana 
CZ Thuja - Zerav východní 
PL Żywotnik koreański
",Thuja koraiensis,Cupressaceae,China,Leaf,,Thuyone; fenchone,Top,4,Woody:Conifer,,,,,,Revitalise; Supports airways,,,,,,
Thymian ct Thymol  ,"NL Tijm ct thymol  
FR Thym; à thymol  
DE Thymian ct Thymol  
IT Thymian ct Thymol  
CZ Tymián bílý
 PL Tymianek  
",Thymus vulgaris thymoliferum,lamiaceae,France,Plant,,,Hart,6,Herbal,,,,,,Revitalise; Supports airways; Supports immunesystem; Purifying,,,,,,
Tokyo mint ,"NL Tokyo munt 
FR Menthe Tokyo 
DE Tokyo minze 
IT Menta Tokyo 
CZ Japonská máta 
PL Mięta Tokyo
",Mentha arvensis var.,lamiaceae,Spain,Plant,,,Top,4,Herbal:mint,,,,,,Revitalise; Supports airways,,,,,,
Vetiver,"NL Vetiver  
FR Vetyver  
DE Vetiver  
IT Vetiver  
CZ Vousatka  
PL Vousatka draslavá; Vetiver
",Vetiver zizanoides,Poaceae,Java,Root,,Vétivene; vétivenol; vétivenone,Base,5,Resinous,,,,,,Relaxing; Harmonizing; Supports immunesystem,,,,,,
Wild mint ,"NL Wild mint 
FR Akkermunt 
DE Menthe des champs 
IT Indische Minzöl
 CZ Menta campestre 
PL Máta divoká
",Mięta dzika,lamiaceae,China,Plant,,Menthol; menthone; isomenthone,Top,,Herbal:mint,,,,,,Revitalise; Supports airways,,,,,,
Wintergreen,"NL Wintergreen  
FR Wintergreen     
DE Wintergrün 
IT Wintergreen 
CZ Libavka
 PL Golteria
",Gaultheria fragrantissima,Ericaceae,Nepal,Leaf,,Methyl salicylate,Hart,5,Herbal,,,,,,Revitalise,,,,,,
Ylang ylang II ,"NL Ylang ylang II
 FR Ylang ylang II 
DE Ylang Ylang II 
IT Ylang ylang II
 CZ Kananga vonná - Ylang Ylang II 
PL Ylang ylang II
",Cananga odorata var. genuina,"
Anonaceae",madagascar,Flower,,Germacrene D; benzyl acetate; farnesene; benzyl benzoate,Hart,5,Flower,,,,,,Relaxing,,,,,,
