name,Otherlanguages,botanicalName,plantFamily,origin,partOfPlant,extractionmethod,Aromatic molecules,note,strength,fragrancegroup,Fragrance,Chakra,Color,Element,plantInfo,General proporties,Proporties body,Proporties mind,Proporties skin,HarmonizesWith,Did you know?,CONTRAINDICATIONS
Cedar Himalaya,"NL Ceder Himalaya
; FR Cèdre; Himalaya; 
DE Cederholz Himalaya
; IT Cedro himalaya
; CZ Cedr Himalájský
; PL Cedr Himalajski  
",Cedrus deodara,Pinaceae,india,Wood,,Himachalenes; atlantones; himachalol,Base,4,Woody,,,,,The Himalayan cedar  (Cedrus Deodara) is an evergreen plant belonging to the Pinaceae family originally from the western side of the Himalayas. It grows mostly in India; Afghanistan; Tibet and Nepal; often reaches a height of 40 m with rather large bulks at the base with pendulum branches. The leaves are needle-shaped; softer and longer than those of other cedars,Relaxing; Supports airways; Purifying; Supports airways;,,,,Benzoin; Bergamot; Cypress; Jasmine; Juniper; Rosemary; Ylang-Ylang and Citrus oils,,Do not use during pregnancy
Ceder Virginie,"NL Ceder Virginie
; FR Cèdre; Virginie; 
DE Cederholz Virginie; 
IT Cedro della virginia
; CZ Jalovec viržinský
; PL Jałowiec wirginijski
",Juniperus virginiana L,Cupressaceae,USA,Wood,,Thuyopsene; cedrol; cedrene,Base,3,Woody,,,,,Virginia Cedar (Juniperus Virginiana) is a majestic evergreen tree belonging to the Cupressaceae family of North America. Cultivated for the most part in North America and Canada often reaches a height of 35 m with woody bases at the base; lightheaded and light green cone. Plant also known as Virginia's Jungle,Relaxing; Supports airways; purifying; ,,,,Benzoin; Bergamot; Cypress; Jasmine; Juniper; Rosemary; Ylang-Ylang and Citrus oils,,Do not use during pregnancy
Cinnamon,"NL Kaneel; 
FR Canelle feuille; DE Zimtblätter; 
IT Cannella; CZ Skořice; 
PL Cynamon  
",Cinnamomum zeylannicum,Lauraceae,Sri Lanka,Leaf,,Eugenol,Base,5,Spicy,,,,,Cinnamon (Cinnamomum Verum) is an evergreen tropical tree belonging to the Lauraceae family of Sri Lanka. Cultivated for the most part in Madagascar; it often reaches a height of 15 m with woody bases at the base; sturdy branches; thick bark and scabra; shiny green leaves and small white flowers,Harmonizing; Supports airways; Supports immunesystem; Purifying;,,,,Amyris; Star Anise; Lemongrass; Sweet Orange; Basil; Benzoin; Cajeput; Coriander; Sweet Fennel; Lavender; Lavendir; Red Mandarin; Ylang-Ylang and citrus oils,,Use with caution and dose very low! Cinnamon contains phenols and aldyhydes what can cause severe skin irritation if overdosed
Citronella 'Java',"NL Citronella 'Java'; FR Citronella 'Java'
; DE Citronella 'Java'; 
IT Citronella 'Java'; CZ Citronela; 
PL Citronella  
",Cymbopogon winterianus,Poaceae,China,Plant,,Geraniol; citronellol; citronellal,Top,3,Citrus,,,,,,Revitalise; Purifying,,,,,,
Bergamot,"NL Bergamot
; FR Bergamotte
; DE Bergamotte
; IT Bergamotto
; CZ Bergamot; 
PL Bergamotka
",Citrus bergamia,Rutaceae,Itlay,Peel,,,Top,3,Citrus,,,,,,Relaxing; Harmonizing; Purifying,,,,,,
Clove,"NL Kruidnagel; FR Clous de girofle; DE Nelkenblüte; IT Chiodi di garofano; CZ Hřebíček; PL Goździkowiec korzenny
",Eugenia caryophyllata,Myrtaceae,Indonesia,Flower; bud,,Eugenol; eugenyle acetate,,5,Spicy,,,,,,Revitalise; Supports airways; Purifying,,,,,,
Combava leaf,"NL Combava blad; FR Combava feuille; DE Combava
; IT Combava foglia; 
CZ Limetka list; PL Limonka Kaffir  
",Citrus hystrix,Rutaceae,Madagascar,Plant,,,Top,3,Citrus,,,,,,"
Relaxing; Supports airways; Supports immunesystem
",,,,,,
Copal,"NL Kopal
; FR Copahu; 
DE Kopal
; IT Copal
; CZ Copaifera - pryskyřice; 
PL Copal
",Copaifera officinalis,Fabaceae,Brasil,resin,,β-caryophyllene,Base,3,Resinous,,,,,,Harmonizing; Supports airways,,,,,,
Coriander,"NL Koriander; FR Coriandre; DE Koriander; 
IT Coriandolo; CZ Koriandr setý; 
PL Kolendra  
",Coriandrum sativum,Apiaceae,Russia,Seed,,,Top,3,Spicy,,,,,,Relaxing; Harmonizing; Purifying,,,,,,
Cypres,"NL Cipress
; FR Cyprès; 
DE Zypresse; 
IT Cipresso
; CZ Cypřiš stálezelený; 
PL Cyprys wiecznie zielony
",Cupressus sempervirens,Cupressaceae,Spain,Leaf,,Pinene; δ 3 carene,Base,3,Woody,,,,,,Revitalise; Supports airways,,,,,,
